snapshot_date,id,name,year,artists,categories,designers,expansion,expands,expansions,families,implementations,max_players,mechanics,min_age,min_players,playing_time,publishers,ranks,rating_average,rating_average_weight,rating_bayes_average,rating_median,rating_num_weights,rating_stddev,users_commented,users_owned,users_rated,users_trading,users_wanting,users_wishing
2018-04-28,161936,Pandemic Legacy: Season 1,2015,Chris Quilliams,Environmental | Medical,Rob Daviau | Matt Leacock,False,[],[],Campaign Games | Legacy | Pandemic,Pandemic Legacy: Season 2 | Pandemic,4,Action Point Allowance System | Co-operative Play | Hand Management | Point to Point Movement | Set Collection | Trading | Variable Player Powers,13,2,60,"Z-Man Games | Asterion Press | Devir | Filosofia Éditions | Gém Klub Kft. | Hobby Japan | Jolly Thinkers | Korea Boardgames co., Ltd. | Lacerta | Lifestyle Boardgames Ltd | MINDOK","[Thing (id: 1), Thing (id: 5496), Thing (id: 5497)]",8.66191,2.8213,8.50155,0.0,761,1.66158,,40831,25476,155,,
2018-04-28,12333,Twilight Struggle,2005,Viktor Csete | Rodger B. MacGowan | Chechu Nieto | Guillaume Ries | Mark Simonitch,Modern Warfare | Political | Wargame,Ananda Gupta | Jason Matthews,False,[],"[Thing (id: 224686), Thing (id: 117145), Thing (id: 227688), Thing (id: 151546), Thing (id: 123262), Thing (id: 190581), Thing (id: 199869), Thing (id: 163247)]",Country: Russia | Country: Soviet Union | Country: USA,,2,Area Control / Area Influence | Campaign / Battle Card Driven | Dice Rolling | Hand Management | Simultaneous Action Selection,13,2,180,GMT Games | (Self-Published) | Asterion Press | Bard Centrum Gier | Chrononauts Games | Devir | DiceTree Games | MINDOK | Udo Grebe Gamedesign | Wargames Club Publishing,"[Thing (id: 1), Thing (id: 4664), Thing (id: 5497)]",8.34475,3.5491,8.20112,0.0,3078,1.59057,,42481,30903,667,,
2018-04-28,174430,Gloomhaven,2017,Alexandr Elichev | Josh T. McDowell | Alvaro Nebot,Adventure | Exploration | Fantasy | Fighting | Miniatures,Isaac Childres,False,[],"[Thing (id: 250337), Thing (id: 226868), Thing (id: 231934)]",Campaign Games | Components: Miniatures | Crowdfunding: Kickstarter | Gloomhaven Universe | Legacy | Solitaire Games,,4,Action / Movement Programming | Co-operative Play | Grid Movement | Hand Management | Modular Board | Role Playing | Simultaneous Action Selection | Storytelling | Variable Player Powers,12,1,120,Cephalofair Games | Feuerland Spiele | Hobby World,"[Thing (id: 1), Thing (id: 5496), Thing (id: 5497)]",9.00346,3.7587,8.61461,0.0,663,1.61199,,24987,14451,91,,
2018-04-28,187645,Star Wars: Rebellion,2016,,Fighting | Miniatures | Movies / TV / Radio theme | Science Fiction | Wargame,Corey Konieczka,False,[],[Thing (id: 226840)],Components: Miniatures | Star Wars,,4,Area Control / Area Influence | Area Movement | Dice Rolling | Hand Management | Partnerships | Variable Player Powers,14,2,240,Fantasy Flight Games | ADC Blackfire Entertainment | Asterion Press | Delta Vision Publishing | Edge Entertainment | Galakta | Heidelberger Spieleverlag,"[Thing (id: 1), Thing (id: 5496), Thing (id: 5497)]",8.48741,3.6279,8.16756,0.0,438,1.38302,,20177,12945,138,,
2018-04-28,169786,Scythe,2016,Jakub Rozalski,Civilization | Economic | Fighting | Miniatures | Science Fiction | Territory Building,Jamey Stegmaier,False,[],"[Thing (id: 199727), Thing (id: 212879), Thing (id: 204984), Thing (id: 221033), Thing (id: 232176), Thing (id: 232087), Thing (id: 237663), Thing (id: 211731), Thing (id: 205121), Thing (id: 211732), Thing (id: 211733), Thing (id: 242277), Thing (id: 223555)]",Alternate History | Components: Miniatures | Crowdfunding: Kickstarter | Scythe | Solitaire Games | Tableau Building,,5,Area Control / Area Influence | Grid Movement | Simultaneous Action Selection | Variable Player Powers,14,1,115,Stonemaier Games | Albi | Arclight | Crowd Games | Delta Vision Publishing | Feuerland Spiele | Fire on Board Jogos | Ghenos Games | Ludofy Creative | Maldito Games | Matagot | Morning | PHALANX | Playfun Games,"[Thing (id: 1), Thing (id: 5497)]",8.2962,3.3641,8.10475,0.0,1074,1.41278,,36913,28128,220,,
2018-04-28,167791,Terraforming Mars,2016,Isaac Fryxelius,Economic | Environmental | Industry / Manufacturing | Science Fiction | Territory Building,Jacob Fryxelius,False,[],"[Thing (id: 241497), Thing (id: 218127), Thing (id: 230241), Thing (id: 247030), Thing (id: 230123), Thing (id: 202825), Thing (id: 226297), Thing (id: 231965)]",Mars | Solar System | Solitaire Games | Tableau Building | Terraforming Mars,,5,Card Drafting | Hand Management | Set Collection | Tile Placement | Variable Player Powers,12,1,120,"FryxGames | Arclight | Ghenos Games | Intrafin Games | Korea Boardgames co., Ltd. | Lavka Games | Maldito Games | Meeple BR Jogos | MINDOK | MYBG Co., Ltd. | Rebel | Reflexshop | Schwerkraft-Verlag | Stronghold Games","[Thing (id: 1), Thing (id: 5497)]",8.38079,3.2523,8.19397,0.0,852,1.33512,,31518,24602,138,,
2018-04-28,173346,7 Wonders Duel,2015,Miguel Coimbra,Ancient | Card Game | City Building | Civilization,Antoine Bauza | Bruno Cathala,False,[],"[Thing (id: 202976), Thing (id: 196339), Thing (id: 228690), Thing (id: 186069)]",7 Wonders | 7 Wonders Duel | Tableau Building,,2,Card Drafting | Set Collection,10,2,30,Repos Production | ADC Blackfire Entertainment | Asterion Press | Galápagos Jogos | Gém Klub Kft. | Kaissa Chess & Games | Lautapelit.fi | Lifestyle Boardgames Ltd | Ludicus | Rebel | Sombreros Production,"[Thing (id: 1), Thing (id: 5497)]",8.14553,2.2419,8.00499,0.0,951,1.15391,,48430,31209,325,,
2018-04-28,102794,Caverna: The Cave Farmers,2013,Klemens Franz,Animals | Economic | Fantasy | Farming,Uwe Rosenberg,False,[],"[Thing (id: 154204), Thing (id: 160803), Thing (id: 166187), Thing (id: 245932), Thing (id: 248951), Thing (id: 183531)]",Animals: Sheep | Caverna | Harvest Series | Mining | Solitaire Games,Caverna: Cave vs Cave | Agricola,7,Tile Placement | Worker Placement,12,1,210,"Lookout Games | 999 Games | Crowd Games | Devir | Filosofia Éditions | Gemenot | Hobby Japan | HomoLudicus | Korea Boardgames co., Ltd. | Lacerta | Ludofy Creative | Mayfair Games | MINDOK | Swan Panasia Co., Ltd. | uplay.it edizioni","[Thing (id: 1), Thing (id: 5497)]",8.12324,3.7834,7.95762,0.0,1214,1.35488,,26650,20796,310,,
2018-04-28,84876,The Castles of Burgundy,2011,Julien Delval | Harald Lieske,Dice | Medieval | Territory Building,Stefan Feld,False,[],"[Thing (id: 178656), Thing (id: 231506), Thing (id: 110926), Thing (id: 132477), Thing (id: 139160), Thing (id: 150083), Thing (id: 166589), Thing (id: 190225), Thing (id: 193585), Thing (id: 214005), Thing (id: 234163), Thing (id: 179205)]",Alea Big Box | Country: France | Tableau Building,The Castles of Burgundy: The Card Game | The Castles of Burgundy: The Dice Game,4,Dice Rolling | Set Collection | Tile Placement | Variable Phase Order,12,2,90,alea | Ravensburger Spieleverlag GmbH | Broadway Toys LTD | Giochi Uniti | Grow Jogos e Brinquedos | Hobby World | Maldito Games | Rebel,"[Thing (id: 1), Thing (id: 5497)]",8.12117,3.0281,8.00388,0.0,1741,1.237,,43209,30969,420,,
2018-04-28,3076,Puerto Rico,2002,Harald Lieske | Franz Vohwinkel,City Building | Economic | Farming,Andreas Seyfarth,False,[],"[Thing (id: 69178), Thing (id: 12382), Thing (id: 159761), Thing (id: 40688)]",Alea Big Box | Colonial Theme | Country: Puerto Rico | Puerto Rico | Tableau Building | Tropical theme,San Juan,5,Variable Phase Order,12,2,150,"alea | Ravensburger Spieleverlag GmbH | Broadway Toys LTD | Devir | Filosofia Éditions | Kaissa Chess & Games | Lacerta | Lautapelit.fi | MINDOK | Rio Grande Games | Stratelibri | Swan Panasia Co., Ltd. | Tilsit","[Thing (id: 1), Thing (id: 5497)]",8.06351,3.2934,7.95243,0.0,5640,1.38391,,60555,52460,1000,,
